Event	ID	Name			Wwise Object Path	Notes
	75809433	menu_pause_off			\Default Work Unit\menu_pause_off	
	77978275	ambient			\Default Work Unit\ambient	
	915214409	gun			\Default Work Unit\mesh\gun	
	1244594577	level_music			\Default Work Unit\level_music	
	1559875400	back			\Default Work Unit\button\back	
	1584507803	click			\Default Work Unit\button\click	
	1651971899	ok			\Default Work Unit\button\ok	
	1878518477	all_chiken			\Default Work Unit\all_chiken	
	2335306597	mesh_foot			\Default Work Unit\mesh\mesh_foot	
	2660355181	menu_pause_on			\Default Work Unit\menu_pause_on	
	3137477943	mech_idle			\Default Work Unit\mesh\mech_idle	
	3244530683	chic_death			\Default Work Unit\chic_death	
	3664266748	gun_stop			\Default Work Unit\mesh\gun_stop	
	3858988253	mech_weapon			\Default Work Unit\mesh\mech_weapon	
	4055567060	menu_music			\Default Work Unit\menu_music	

State Group	ID	Name			Wwise Object Path	Notes
	1944582999	pause_state			\Default Work Unit\pause_state	
	2809391992	view_mode			\Default Work Unit\view_mode	
	3826569560	music_state			\Default Work Unit\music_state	

State	ID	Name	State Group			Notes
	748895195	None	pause_state			
	3537680115	pause_on	pause_state			
	3967028551	pause_off	pause_state			
	77368567	simple_mode	view_mode			
	748895195	None	view_mode			
	2878061914	sniper_mode	view_mode			
	221232726	lose	music_state			
	748895195	None	music_state			
	979765101	win	music_state			
	1026627430	middle	music_state			
	1482584505	little	music_state			
	3145131320	many	music_state			

Custom State	ID	Name	State Group	Owner		Notes
	42618533	sniper_mode	view_mode	\Actor-Mixer Hierarchy\Default Work Unit\pc\mech_steps		
	311595409	sniper_mode	view_mode	\Actor-Mixer Hierarchy\Default Work Unit\ambient\random_ambience		
	625959795	sniper_mode	view_mode	\Actor-Mixer Hierarchy\Default Work Unit\pc\mech_idle		
	927632867	pause_on	pause_state	\Actor-Mixer Hierarchy\Default Work Unit\ambient\amb		

Game Parameter	ID	Name			Wwise Object Path	Notes
	2488984241	chiken_sum			\Default Work Unit\chiken_sum	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	2022572	Menu3	D:\Jam2021\tuc-jam-jan-2021\.cache\Mac\SFX\Menu3_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\menu_music\1_05\Menu3		3000076
	25487962	mech_ft_4	D:\Jam2021\tuc-jam-jan-2021\.cache\Mac\SFX\mech_ft_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\pc\mech_steps\mech_ft_4		70872
	32198630	pig	D:\Jam2021\tuc-jam-jan-2021\.cache\Mac\SFX\pig_CD8EDA95.wem		\Actor-Mixer Hierarchy\Default Work Unit\ambient\random_ambience\pig		23259
	35203722	chiken_70-100_b	D:\Jam2021\tuc-jam-jan-2021\.cache\Mac\SFX\chiken_70-100_b_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\chiken\all_chiken\70-100\chiken_70-100_b		1411328
	61206307	back	D:\Jam2021\tuc-jam-jan-2021\.cache\Mac\SFX\back_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\ui\back\back		49740
	64579310	eng_start	D:\Jam2021\tuc-jam-jan-2021\.cache\Mac\SFX\eng_start_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\pc\mech_idle\eng_start		551376
	88830912	chiken_90-100_c	D:\Jam2021\tuc-jam-jan-2021\.cache\Mac\SFX\chiken_90-100_c_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\chiken\all_chiken\90-100\chiken_90-100_c		1411328
	90906003	mech_ft	D:\Jam2021\tuc-jam-jan-2021\.cache\Mac\SFX\mech_ft_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\pc\mech_steps\mech_ft		70872
	140896964	trans_1	D:\Jam2021\tuc-jam-jan-2021\.cache\Mac\SFX\trans_1_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\music_level\15-1\1\trans_1		987720
	148750320	chiken_50-70_a	D:\Jam2021\tuc-jam-jan-2021\.cache\Mac\SFX\chiken_50-70_a_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\chiken\all_chiken\50-70\chiken_50-70_a		424592
